60891,N-34,9/26/2013,N-34,,19999N NPRClearing  (N),NPR,,205209.95, 0.00 ," 205,209.95 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Payment to ATC pvt,Payment to ATC pvt,99.29978176
60892,N-35,9/26/2013,N-35,,19999N NPRClearing  (N),NPR,,348116.91, 0.00 ," 348,116.91 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Payment to G4S,Payment to G4S,99.29997347
60894,N-36,9/26/2013,N-36,,19999N NPRClearing  (N),NPR,,757100, 0.00 ," 757,100.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Advance to Utsav Construction & Interiors,Advance to Utsav Construction & Interiors,99.30000774
60902,N-37,9/26/2013,N-37,,19999N NPRClearing  (N),NPR,,434275, 0.00 ," 434,275.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Payment to Transportation Management Service,Payment to Transportation Management Service,99.30008049
60913,N-38,9/30/2013,N-38,,19999N NPRClearing  (N),NPR,,45610103.73, 0.00 ," 45,610,103.73 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Royalty payment,Royalty payment,99.30000023
60922,N-40,10/4/2013,N-40,,19999N NPRClearing  (N),NPR,,2171000, 0.00 ," 2,171,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,,,99.59547081
60924,N-41,10/4/2013,N-41,,19999N NPRClearing  (N),NPR,,15280.96, 0.00 ," 15,280.96 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),HR,,,98.30777149
60926,N-42,10/4/2013,N-42,,19999N NPRClearing  (N),NPR,,0, 0.00 , 0.00 ,US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,USD Prepaid card-Om Prakash Pokharel,VOID,98.5
60928,N-43,10/4/2013,N-43,,19999N NPRClearing  (N),NPR,,333806.65, 0.00 ," 333,806.65 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,SP International,SP International,97.8500532
60931,N-44,10/4/2013,N-44,,19999N NPRClearing  (N),NPR,,35573, 0.00 ," 35,573.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Saleways Department,Saleways Department,97.84898913
