162812,N-941,8/7/2020,N-941,19219N SBL/USD 00100010083 CUR (N),,USD," 4,800,000.00 ", 0.00 ," 577,200,000.00 ", 0.00 ,US Dollar,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from Sanima to SCB,Fund transfer from Sanima to SCB,120.25
162813,N-942,8/9/2020,N-942,19217N NIBL/USD 01201010250443 CUR (N),,USD," 4,500,000.00 ", 0.00 ," 541,125,000.00 ", 0.00 ,US Dollar,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from NIBL to SCB,Fund transfer from NIBL to SCB,120.25
162814,N-943,8/9/2020,N-943,19220N NMB/USD 0010010920300053 CUR (N),,USD," 5,500,000.00 ", 0.00 ," 661,375,000.00 ", 0.00 ,US Dollar,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from NMB to SCB,Fund transfer from NMB to SCB,120.25
162815,N-944,8/9/2020,N-944,19300N NSBI/USD 20238400100005 CUR (N),,USD," 6,000,000.00 ", 0.00 ," 721,500,000.00 ", 0.00 ,US Dollar,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from NSBI to SCB,Fund transfer from NSBI to SCB,120.25
162821,N-945,7/30/2020,N-945,19200N SCB/USD 01-0417319-51 CUR (N),,USD," 1,013,702.50 ", 0.00 ," 120,934,707.59 ", 0.00 ,US Dollar,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Royalty payment,Royalty payment,119.2999994
162831,N-946,8/6/2020,N-946,19216N EBL/USD 03500105200629 CUR  (N),,USD," 6,200,000.00 ", 0.00 ," 741,520,000.00 ", 0.00 ,US Dollar,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from EBL to EBL,Fund transfer from EBL to EBL,119.6
162856,N-947,7/17/2020,N-947,19212N NMB/NPR0200010920300012 CUR  (N),,NPR," 37,331.69 ", 0.00 ," 37,331.69 ", 0.00 ,Nepalese Rupee,Aug 2020 [Shrawan 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Transfer NMB to NMB .,Transfer NMB to NMB .,1
164302,N-950,10/8/2020,N-950,19213N NMB/NPR 0200010920300038 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Oct 2020 [Ashwin 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,VOID,VOID,1
164313,N-951,10/14/2020,N-951,19212N NMB/NPR0200010920300012 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Oct 2020 [Ashwin 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,VOID,VOID,1
164315,N-952,9/22/2020,N-952,19200N SCB/USD 01-0417319-51 CUR (N),,USD," 1,000,000.00 ", 0.00 ," 117,850,000.00 ", 0.00 ,US Dollar,Oct 2020 [Ashwin 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,transfer from SCB to NMB,transfer from SCB to NMB,117.85
