167355,18/07/2020,IA/N-0003731,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,HVAC at Power house,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : HVAC : 0095.001.0023,Piece,2,678
167371,18/07/2020,IA/N-0003732,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Drinking water supply line,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Union : 1001.009.0005,Piece,1,294.05
167372,25/07/2020,IA/N-0003733,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Guest house maintenance,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Sealants : 1006.004.0001,Piece,5,15
167373,29/07/2020,IA/N-0003734,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #5 servomotor,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0066,Piece,2,5314.025
167374,29/07/2020,IA/N-0003735,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Control Panel : 0048.001.0043,Piece,1,4152.38
167375,30/07/2020,IA/N-0003736,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux # 6264,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,49,85.84061224
167376,30/07/2020,IA/N-0003737,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,56,85.84071429
167377,8/9/2020,IA/N-0003738,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Guest house maintenance,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,4,13.27
167378,14/08/2020,IA/N-0003739,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Guest house maintenance,Himal Power Ltd (NPR),Aug 2020 [Shrawan 2077],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Nipple BSP : 1001.010.0005,Piece,2,133.735
167379,20/08/2020,IA/N-0003740,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Guest house maintenance,Himal Power Ltd (NPR),Sep 2020 [Bhadra 2077],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,4,13.27
167381,28/08/2020,IA/N-0003741,14000 RawMaterialSemiManufacture,62501 DieselPremises,,Emergency DG,Himal Power Ltd (NPR),Sep 2020 [Bhadra 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,456,85.84070175
167383,28/08/2020,IA/N-0003742,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux # 6264,Himal Power Ltd (NPR),Sep 2020 [Bhadra 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,51,85.84078431
