200324,50206.NRP Saleways Departmental Store Pvt. Ltd.
200325,50462.NPR Sameer Sharma
200336,52456.NPR HPL Guest House/Staff Mess
200339,52166.NPR Quality Books and Stationary Suppliers
200343,52331.NPR Sahadev Tailors (Sahadev Nepali)
200346,52446.NPR Shree Deepjyoti Hardware and Supplier (Shree Deepjyoti Harware & Suppliers)
200366,52446.NPR Shree Deepjyoti Hardware and Supplier (Shree Deepjyoti Harware & Suppliers)
200367,50212.NRS Atc Pvt. Ltd
200401,52429.NPR Swastik Auto Servicing Station
200420,50963.NPR S S Legal Pvt Ltd
200433,"51055.NPR New B. R, Enterprises"
200470,52429.NPR Swastik Auto Servicing Station
200471,52446.NPR Shree Deepjyoti Hardware and Supplier (Shree Deepjyoti Harware & Suppliers)
200472,50977.NPR Shree Balaji Enterprises
200473,52386.USD Oracle Corporation Singapore Pte Ltd
200474,52175.NPR Betali Saving & Credit Cooperative Society Ltd
200475,50523.NPR Jit B Karki
200476,50519.NPR Dharma Bahadur Karki (Thag Kumai Karki)
200477,50515.NPR Kul B Karki
200478,50527.NPR Devi B Karki
200479,52483.NPR Sarki Tamang
200480,50575.NPR NLG Insurance Company Limited
200481,50995.NPR Jirel Store
200482,50206.NRP Saleways Departmental Store Pvt. Ltd.
200484,50942.NPR Suvidha Sewa Pvt Ltd
200485,52331.NPR Sahadev Tailors (Sahadev Nepali)
200486,50035.NPR Dugar Iron & Steel Trading Co. (P.) LTD
200487,50921.NPR Sparklink Enterprises Pvt Ltd
200489,50847.NPR Prabhukiran Computers
200490,50524.NPR Kuldevi Karki
200495,51192.NPR Kapil Shrestha
200496,50101.NPR Prabha Sthapit
200498,50707.NPR Norvic International Hospital and Medical College Pvt Ltd
200499,52496.NPR SURYA ENGINEERING SOLUTION PVT. LTD.
200503,50995.NPR Jirel Store
200519,50707.NPR Norvic International Hospital and Medical College Pvt Ltd
200520,51007.NPR Kathmandu Electricals and Suppliers
200521,52397.NPR Karki Hardware Pasal
201246,52456.NPR HPL Guest House/Staff Mess
201248,52495.NPR Mahalaxmi Vehicle Service Pvt Ltd
201249,52288.NPR Machinery and Electric Pvt. Ltd
201251,50342.NPR New Shrestha Machinery Concern
201252,52473.NPR S&B Suppliers
201255,50598.NRS Jyoti Shree Nepal Pvt Ltd
201264,50998.NPR Dhulikhel Hospital
201265,50995.NPR Jirel Store
201271,50048.NPR Graphic Plus Printer
201283,50707.NPR Norvic International Hospital and Medical College Pvt Ltd
201285,50024.NPR BM Enterprises
201287,50942.NPR Suvidha Sewa Pvt Ltd
201288,50942.NPR Suvidha Sewa Pvt Ltd
201289,50030.NPR Constellation Pvt. Ltd.
201293,52451.NPR Shangrila Blu Hotel
201294,50182.NPR Momento Concern
201295,52167.NPR Bhandari Kirana Stores
