166489,15/07/2020,IA/N-0003717,14100 SparePart,12100 FixedAssetUnderConstruction,PO 4363 adjustment,AC adjustment - PO4363,Himal Power Ltd (NPR),Jul 2020 [Ashad 2077],KHIM1,,,KIRNE (N),Inv : Valve : Inlet : 0017.001.0040,Piece,1,474044
166490,15/07/2020,IA/N-0003718,14100 SparePart,66900 OtherRepMaintCost,PO 5876 adjustment,AC adjustment - PO5876,Himal Power Ltd (NPR),Jul 2020 [Ashad 2077],KHIM1,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0085,Piece,16,2712
166491,15/07/2020,IA/N-0003719,14100 SparePart,66900 OtherRepMaintCost,PO 6882 adjustment,AC adjustment - PO6882,Himal Power Ltd (NPR),Jul 2020 [Ashad 2077],KHIM1,,,KIRNE (N),Inv : Compressed Air : 0094.001.0027,Piece,2,7017.3
166492,15/07/2020,IA/N-0003720,14100 SparePart,66900 OtherRepMaintCost,PO 6975 adjustment,AC adjustment - PO6975,Himal Power Ltd (NPR),Jul 2020 [Ashad 2077],KHIM1,,,KIRNE (N),Inv : HVAC : 0095.001.0023,Piece,10,678
166493,15/07/2020,IA/N-0003721,14100 SparePart,66040 RepMaintElectroTechPlantInstal,PO 5716 adjustment,AC adjustment - PO5716,Himal Power Ltd (NPR),Jul 2020 [Ashad 2077],KHIM1,,,KIRNE (N),Inv : Secondary Cooling Water : 0024.001.0002,Piece,1,191455.95
166495,15/07/2020,IA/N-0003722,14100 SparePart,66040 RepMaintElectroTechPlantInstal,PO 5472 adjustment,AC adjustment - PO5472,Himal Power Ltd (NPR),Jul 2020 [Ashad 2077],KHIM1,,,KIRNE (N),Inv : Control Panel : 0048.001.0055,Piece,4,58093.75
178009,15/07/2021,IA/N-0004099,14100 SparePart,66900 OtherRepMaintCost,PO6922 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Cooling Water : 0093.001.0051,Piece,1,38420
178010,15/07/2021,IA/N-0004100,14100 SparePart,66030 RepMaintMachineTechPlantInstal,PO 7314 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Generator : Diesel : 0100.001.0043,Piece,1,26363.1
178011,15/07/2021,IA/N-0004101,14100 SparePart,66030 RepMaintMachineTechPlantInstal,PO 7400 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0057,Litre,416,537.16
178012,15/07/2021,IA/N-0004102,14100 SparePart,66160 RepMaintPermBuildFixture,PO 7421 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Drainage : 0092.001.0002,Piece,10,2542.5
178013,15/07/2021,IA/N-0004103,14100 SparePart,66030 RepMaintMachineTechPlantInstal,PO 7429 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0057,Litre,416,537.16
178014,15/07/2021,IA/N-0004104,14100 SparePart,66900 OtherRepMaintCost,PO 7535 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,25,3672.5
178015,15/07/2021,IA/N-0004105,14100 SparePart,66040 RepMaintElectroTechPlantInstal,PO 6122 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Circuit Bkr : SF6 : 0030.001.0006,Piece,12,16233.17
178016,15/07/2021,IA/N-0004106,14100 SparePart,66030 RepMaintMachineTechPlantInstal,PO 6492 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0029,Set,2,415986
178017,15/08/2021,IA/N-0004107,14100 SparePart,66040 RepMaintElectroTechPlantInstal,PO 6709 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Aug 2021 [Shrawan 2078],Khimti JVC,,,KIRNE (N),Inv : Generator : 0022.001.0037,Piece,1,161994.57
178018,14/02/2021,IA/N-0004108,14100 SparePart,66030 RepMaintMachineTechPlantInstal,PO 6721 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Mar 2021 [Phalgun 2077],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0057,Litre,416,537.16
178019,15/07/2021,IA/N-0004109,14100 SparePart,66030 RepMaintMachineTechPlantInstal,PO 6766 Adjustment,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2021 [Ashad 2078],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0091,Set,5,221433
185130,15/07/2022,IA/N-0004383,14100 SparePart,66040 RepMaintElectroTechPlantInstal,IA/N-0003702- correction,Inventory Adjustment,Himal Power Ltd (NPR),Jul 2022 [Ashad 2079],Khimti JVC,,,KIRNE (N),Inv : Cooling Water : 0093.001.0008,Piece,5,5186.39
